full_address,street,number,postal_code,city,beds,baths,size,price,broker,link,image,coordinates
Waarlooshofstraat 4 - 2020 Antwerpen - Belgium,Waarlooshofstraat ,4,2020,Antwerpen,4,,,279000,https://www.immoscoop.be/immokantoor/12/cc-immo,https://www.immoscoop.be/te-koop/immo/woning/antwerpen-2020/antwerpen/371801/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb12/2020-03-25/371801/186539998287552.jpeg,51.18787529999999-4.3763139
Bredastraat 134 - 2060 Antwerpen - Belgium,Bredastraat ,134,2060,Antwerpen,4,1,190,279000,https://www.immoscoop.be/immokantoor/4764/century-21-activity,https://www.immoscoop.be/te-koop/immo/woning/antwerpen-2060/antwerpen/370197/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb4764/2020-04-04/370197/176872551426614.jpeg,51.2363455-4.424695799999999
Lisseweg 14 - 2460 Kasterlee - Belgium,Lisseweg ,14,2460,Kasterlee,4,1,188,279500,https://www.immoscoop.be/immokantoor/15/immo-point,https://www.immoscoop.be/te-koop/immo/woning/lichtaart/kasterlee/366523/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb15/2019-10-14/366523/127528207285061.jpeg,51.2281039-4.892505
Krommendijk 16 - 2382 Ravels - Belgium,Krommendijk ,16,2382,Ravels,4,1,156,265000,https://www.immoscoop.be/immokantoor/17/de-boer-en-partners,https://www.immoscoop.be/te-koop/immo/woning/poppel/ravels/272508/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb17/2019-10-12/272508/156285453182896.png,51.4456472-5.0439744
Meerleseweg - 2321 Hoogstraten - Belgium,Meerleseweg - ,1,2321,Hoogstraten,4,,,299000,https://www.immoscoop.be/immokantoor/27311/8c8-vastgoed,https://www.immoscoop.be/te-koop/immo/woning/meer/hoogstraten/244363/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb27311/2018-09-14/244363/18042717.jpg,51.4593068-4.7560896
IJsvogelstraat 95 - 2170 Antwerpen - Belgium,IJsvogelstraat ,95,2170,Antwerpen,4,2,162,259000,https://www.immoscoop.be/immokantoor/80/coga-vastgoedmakelaars,https://www.immoscoop.be/te-koop/immo/woning/merksem/antwerpen/409601/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb80/2020-02-05/409601/128950109219520.png,51.2591203-4.4333719
Lijsterbeslaan 25 - 2940 Stabroek - Belgium,Lijsterbeslaan ,25,2940,Stabroek,4,1,142,279000,https://www.immoscoop.be/immokantoor/10/immo-de-laet,https://www.immoscoop.be/te-koop/immo/appartement/stabroek/antwerpen/428733/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb10/2020-03-24/428733/153953901118518.jpeg,51.3357541-4.363034
August van de Wielelei 249 - 2100 Antwerpen - Belgium,August van de Wielelei ,249,2100,Antwerpen,4,1,125,295000,https://www.immoscoop.be/immokantoor/33/immo-dyck,https://www.immoscoop.be/te-koop/immo/appartement/deurne-2100/antwerpen/426879/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb33/2020-03-19/426879/146951704308985.jpeg,51.2207725-4.4855354
Rucaplein 102 - 2610 Antwerpen - Belgium,Rucaplein ,102,2610,Antwerpen,4,2,140,260000,https://www.immoscoop.be/immokantoor/97/cityplus,https://www.immoscoop.be/te-koop/immo/appartement/wilrijk/antwerpen/416786/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb97/2020-02-25/416786/89400253.jpg,51.1782246-4.4220623
Pinksterbloemlaan 36 - 2180 Antwerpen - Belgium,Pinksterbloemlaan ,36,2180,Antwerpen,3,1,98,239000,https://www.immoscoop.be/immokantoor/20/vastgoed-03,https://www.immoscoop.be/te-koop/immo/woning/ekeren/antwerpen/429423/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb20/2020-03-25/429423/147628082662860.jpeg,51.2811175-4.4451717
Koning Albertstraat 138 - 2381 Ravels - Belgium,Koning Albertstraat ,138,2381,Ravels,3,1,220,289000,https://www.immoscoop.be/immokantoor/91922/vastgoedpartners-rijkevorsel,https://www.immoscoop.be/te-koop/immo/woning/ravels/turnhout/422427/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb91922/2020-03-26/422427/132909351487790.jpeg,51.41056649999999-4.9985294
Kortrijkstraat 78 - 2140 Antwerpen - Belgium,Kortrijkstraat ,78,2140,Antwerpen,3,1,160,249000,https://www.immoscoop.be/immokantoor/7/hans-immo,https://www.immoscoop.be/te-koop/immo/woning/borgerhout/antwerpen/421458/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb7/2020-03-12/421458/168525924613552.jpeg,51.2223485-4.4407315
Smoutakker 48 - 2940 Stabroek - Belgium,Smoutakker ,48,2940,Stabroek,3,1,140,249000,https://www.immoscoop.be/immokantoor/20/vastgoed-03,https://www.immoscoop.be/te-koop/immo/woning/stabroek/antwerpen/421123/,https://s3-eu-west-1.amazonaws.com/immoscoop/belgie/mb20/2020-03-11/421123/177294286293268.jpeg,51.3312265-4.3690703
